,Unnamed: 0,Si No,FG Code,Description,For Paint,Painted,Model,Connector Type,Connector Size,Type
71,71,72,023Z4583,Filter drier DML 167S M/12 , 023Z1534 , 023Z1535 ,16,CU-PLATED,7/8,16 CU-PLATED
72,72,73,023Z4800,Filter drier DCL 032S/6mm I/28 , 023Z1936 , 023Z1937 ,3,CU-PLATED,6MM,3 CU-PLATED
73,73,74,023Z4801,Filter drier DCL 032S I/28 , 023Z0934 , 023Z0935 ,3,CU-PLATED,1/4,3 CU-PLATED
74,74,75,023Z4803,Filter drier DCL 032.5S I/28 , 023Z1874 , 023Z1875 ,3,CU-PLATED,5/16,3 CU-PLATED
75,75,76,023Z4804,Filter drier DCL 052S/6mm I/16 , 023Z1938 , 023Z1939 ,5,CU-PLATED,6MM,5 CU-PLATED
76,76,77,023Z4805,Filter drier DCL 052S I/16 , 023Z1894 , 023Z1895 ,5,CU-PLATED,1/2,5 CU-PLATED
77,77,78,023Z4807,Filter drier DCL 053S I/16 , 023Z1850 , 023Z1851 ,5,CU-PLATED,3/8,5 CU-PLATED
78,78,79,023Z4811,Filter drier DCL 083S I/16 , 023Z1232 , 023Z1233 ,8,CU-PLATED,3/8,8 CU-PLATED
79,79,80,023Z4813,Filter drier DCL 084S I/16 , 023Z1226 , 023Z1227 ,8,CU-PLATED,1/2,8 CU-PLATED
80,80,81,023Z4815,Filter drier DCL 164S I/12 , 023Z1392 , 023Z1393 ,16,CU-PLATED,1/2,16 CU-PLATED
81,81,82,023Z4816,Filter drier DCL 165S I/12 , 023Z1530 , 023Z1531 ,16,CU-PLATED,1/2,16 CU-PLATED
82,82,83,023Z4821,Filter drier DML 032S/6mm I/28 , 023Z0940 , 023Z0941 ,3,CU-PLATED,6MM,3 CU-PLATED
83,83,84,023Z4822,Filter drier DML 032S I/28 , 023Z0936 , 023Z0937 ,3,CU-PLATED,1/4,3 CU-PLATED
84,84,85,023Z4823,Filter drier DML 032.5S I/28 , 023Z1840 , 023Z1841 ,3,CU-PLATED,5/16,3 CU-PLATED
85,85,86,023Z4825,Filter drier DML 033S I/28 , 023Z1580 , 023Z1581 ,3,CU-PLATED,3/8,3 CU-PLATED
86,86,87,023Z4826,Filter drier DML 052S/6mm I/16 , 023Z1942 , 023Z1943 ,5,CU-PLATED,6MM,5 CU-PLATED
87,87,88,023Z4827,Filter drier DML 053S/10mm I/16 , 023Z0978 , 023Z0979 ,5,CU-PLATED,10MM,5 CU-PLATED
88,88,89,023Z4828,Filter drier DML 053S I/16 , 023Z1296 , 023Z1297 ,5,CU-PLATED,3/8,5 CU-PLATED
89,89,90,023Z4829,Filter drier DML 084S I/16 , 023Z1846 , 023Z1847 ,8,CU-PLATED,1/2,8 CU-PLATED
90,90,91,023Z4830,Filter drier DML 164S I/12 , 023Z1596 , 023Z1597 ,16,CU-PLATED,1/2,16 CU-PLATED
91,91,92,023Z4832,Filter drier DML 166S I/12 , 023Z1904 , 023Z1905 ,16,CU-PLATED,3/4,16 CU-PLATED
92,92,93,023Z4835,Filter drier DML 083S I/16 , 023Z1944 , 023Z1945 ,8,CU-PLATED,3/8,8 CU-PLATED
93,93,94,023Z4838,Filter drier DML 055S I/16 , 023Z1898 , 023Z1899 ,5,CU-PLATED,5/8,5 CU-PLATED
94,94,95,023Z4842,Filter drier DML 163S/10mm I/12 , 023Z9146 , 023Z9147 ,16,CU-PLATED,10MM,16 CU-PLATED
95,95,96,023Z4843,Filter drier DML 164S/12mm I/12 , 023Z1538 , 023Z1539 ,16,CU-PLATED,12MM,16 CU-PLATED
96,96,97,023Z4845,Filter drier DML 054S/12mm I/16 , 023Z1844 , 023Z1845 ,5,CU-PLATED,12MM,5 CU-PLATED
97,97,98,023Z4847,Filter drier DML 082S I/16 , 023Z1908 , 023Z1909 ,8,CU-PLATED,1/2,8 CU-PLATED
98,98,99,023Z4849,Filter drier DML 052S I/16 , 023Z1588 , 023Z1589 ,5,CU-PLATED,1/4,5 CU-PLATED
99,99,100,023Z4866,Filter drier DML 082S/6mm I/16 , 023Z1896 , 023Z1897 ,8,CU-PLATED,6MM,8 CU-PLATED
100,100,101,023Z8048,Filter drier DML 032S I/28 , 023Z1586 , 023Z1587 ,3,SOLDER,1/4,3 SOLDER
101,101,102,023Z8054,Filter drier DML 053S I/16 , 023Z1964 , 023Z1965 ,5,SOLDER,3/8,5 SOLDER
102,102,103,023Z8055,Filter drier DML 053S/10mm I/16 , 023Z1836 , 023Z1837 ,5,SOLDER,10MM,5 SOLDER
103,103,104,023Z8067,Filter drier DML 164S I/12 , 023Z1900 , 023Z1901 ,16,SOLDER,1/2,16 SOLDER
104,104,105,023Z8068,Filter drier DML 165S I/12 , 023Z1854 , 023Z1855 ,16,SOLDER,5/8,16 SOLDER
105,105,106,023Z5101,Filter drier DML 054S M/24 , 023Z0942 , 023Z0943 ,5,SOLDER,1/2,5 SOLDER
106,106,107,023Z5117,Filter drier DML 082.5S M/24 , 023Z0992 , 023Z0993 ,8,SOLDER,5/16,8 SOLDER
107,107,108,023Z5121,Filter drier DML 034S M/32 , 023Z0900 , 023Z0901 ,3,SOLDER,1/2,3 SOLDER
108,108,109,023Z5145,Filter drier DCL 085S M/24 , 023Z0996 , 023Z0997 ,8,SOLDER,5/8,8 SOLDER
109,109,110,023Z8023,Filter drier DCL 083S I/16 , 023Z1902 , 023Z1903 ,8,SOLDER,3/8,8 SOLDER
110,110,111,023Z8027,Filter drier DML 032S/3mm I/28 , 023Z0906 , 023Z0907 ,3,SOLDER,3MM,3 SOLDER
111,111,112,023Z5048,Filter drier DML 032S M/32 , 023Z0904 , 023Z0905 ,3,SOLDER,1/4,3 SOLDER
112,112,113,023Z5049,Filter drier DML 032.5S M/32 , 023Z0914 , 023Z0915 ,3,SOLDER,2018-05-16 00:00:00,3 SOLDER
113,113,114,023Z5050,Filter drier DML 033S M/32 , 023Z0910 , 023Z0911 ,3,SOLDER,3/8,3 SOLDER
114,114,115,023Z5051,Filter drier DML 033S/10mm M/32 , 023Z0918 , 023Z0919 ,3,SOLDER,10MM,3 SOLDER
115,115,116,023Z5053,Filter drier DML 052S M/24 , 023Z0946 , 023Z0947 ,5,SOLDER,1/4,5 SOLDER
116,116,117,023Z5054,Filter drier DML 053S M/24 , 023Z0950 , 023Z0951 ,5,SOLDER,3/8,5 SOLDER
117,117,118,023Z5055,Filter drier DML 053S/10mm M/24 , 023Z0956 , 023Z0957 ,5,SOLDER,10MM,5 SOLDER
118,118,119,023Z5057,Filter drier DML 082S M/24 , 023Z0986 , 023Z0987 ,8,SOLDER,1/4,8 SOLDER
119,119,120,023Z5058,Filter drier DML 083S M/24 , 023Z0990 , 023Z0991 ,8,SOLDER,3/8,8 SOLDER
120,120,121,023Z5059,Filter drier DML 083S/10mm M/24 , 023Z1200 , 023Z1201 ,8,SOLDER,10MM,8 SOLDER
121,121,122,023Z5060,Filter drier DML 084S/12mm M/24 , 023Z1202 , 023Z1203 ,8,SOLDER,12MM,8 SOLDER
122,122,123,023Z5061,Filter drier DML 084S M/24 , 023Z0982 , 023Z0983 ,8,SOLDER,1/2,8 SOLDER
123,123,124,023Z5063,Filter drier DML 162S M/12 , 023Z1240 , 023Z1241 ,16,SOLDER,1/4,16 SOLDER
124,124,125,023Z5064,Filter drier DML 163S M/12 , 023Z1248 , 023Z1249 ,16,SOLDER,3/8,16 SOLDER
125,125,126,023Z5065,Filter drier DML 163S/10mm M/12 , 023Z1260 , 023Z1261 ,16,SOLDER,10MM,16 SOLDER
126,126,127,023Z5066,Filter drier DML 164S/12mm M/12 , 023Z1264 , 023Z1265 ,16,SOLDER,12MM,16 SOLDER
127,127,128,023Z5067,Filter drier DML 164S M/12 , 023Z1238 , 023Z1239 ,16,SOLDER,1/2,16 SOLDER
128,128,129,023Z5068,Filter drier DML 165S M/12 , 023Z1252 , 023Z1253 ,16,SOLDER,5/8,16 SOLDER
